date,session_key,meeting_key,track_temperature,wind_speed,rainfall,humidity,air_temperature,pressure,wind_direction
2024-06-30 12:08:30.947000+00:00,9550,1239,46.2,1.8,0,36.0,29.1,932.9,272
2024-06-30 12:09:30.951000+00:00,9550,1239,45.9,2.3,0,35.0,29.0,932.8,346
2024-06-30 12:10:30.954000+00:00,9550,1239,45.5,1.7,0,36.0,29.0,932.9,235
2024-06-30 12:11:30.956000+00:00,9550,1239,45.3,1.4,0,36.0,28.9,932.9,6
2024-06-30 12:12:30.957000+00:00,9550,1239,45.2,2.2,0,36.0,28.9,933.0,318
2024-06-30 12:13:30.953000+00:00,9550,1239,45.5,2.5,0,36.0,28.8,933.0,302
2024-06-30 12:14:30.952000+00:00,9550,1239,45.8,1.8,0,36.0,28.8,932.9,313
2024-06-30 12:15:30.957000+00:00,9550,1239,46.1,1.9,0,36.0,28.9,933.0,330
2024-06-30 12:16:30.953000+00:00,9550,1239,46.1,2.0,0,35.0,28.8,932.9,295
2024-06-30 12:17:30.954000+00:00,9550,1239,46.1,2.5,0,36.0,28.9,932.8,335
2024-06-30 12:18:30.962000+00:00,9550,1239,46.5,2.4,0,36.0,28.9,932.9,38
2024-06-30 12:19:30.955000+00:00,9550,1239,46.6,1.3,0,36.0,28.9,932.9,296
2024-06-30 12:20:30.957000+00:00,9550,1239,46.5,1.9,0,36.0,29.0,932.8,329
2024-06-30 12:21:30.959000+00:00,9550,1239,46.8,2.0,0,36.0,29.0,932.8,335
2024-06-30 12:22:30.966000+00:00,9550,1239,46.8,2.4,0,36.0,29.1,932.9,350
2024-06-30 12:23:30.974000+00:00,9550,1239,46.8,1.9,0,36.0,29.1,932.8,297
2024-06-30 12:24:30.977000+00:00,9550,1239,47.0,2.3,0,36.0,29.1,932.7,272
2024-06-30 12:25:31+00:00,9550,1239,46.5,1.8,0,36.0,29.2,932.8,327
2024-06-30 12:26:31.015000+00:00,9550,1239,46.5,2.0,0,35.0,29.2,932.8,321
2024-06-30 12:27:31.013000+00:00,9550,1239,46.7,2.0,0,36.0,29.1,932.9,335
2024-06-30 12:28:31.011000+00:00,9550,1239,46.5,1.8,0,36.0,29.2,932.8,320
2024-06-30 12:29:31.009000+00:00,9550,1239,46.5,1.4,0,36.0,29.2,932.8,323
2024-06-30 12:30:31.014000+00:00,9550,1239,46.5,1.8,0,36.0,29.1,932.9,317
2024-06-30 12:31:31.017000+00:00,9550,1239,46.7,2.0,0,36.0,29.0,932.9,12
2024-06-30 12:32:31.018000+00:00,9550,1239,46.7,1.7,0,36.0,29.0,932.9,5
2024-06-30 12:33:31.020000+00:00,9550,1239,46.9,1.8,0,36.0,29.0,932.9,269
2024-06-30 12:34:31.029000+00:00,9550,1239,46.9,1.8,0,35.0,29.0,932.8,312
2024-06-30 12:35:31.050000+00:00,9550,1239,46.7,2.0,0,36.0,29.0,932.9,351
2024-06-30 12:36:31.064000+00:00,9550,1239,46.5,2.6,0,36.0,29.0,932.8,335
2024-06-30 12:37:31.100000+00:00,9550,1239,46.2,1.9,0,36.0,29.0,932.8,317
2024-06-30 12:38:31.061000+00:00,9550,1239,46.2,2.3,0,37.0,29.1,932.8,322
2024-06-30 12:39:31.066000+00:00,9550,1239,47.3,1.7,0,36.0,29.1,932.6,281
2024-06-30 12:40:31.085000+00:00,9550,1239,47.3,2.1,0,36.0,29.1,932.7,10
2024-06-30 12:41:31.094000+00:00,9550,1239,46.9,2.3,0,36.0,29.1,932.8,268
2024-06-30 12:42:31.104000+00:00,9550,1239,46.8,1.3,0,36.0,29.0,932.8,331
2024-06-30 12:43:31.104000+00:00,9550,1239,46.8,1.0,0,36.0,29.0,932.9,315
2024-06-30 12:44:31.107000+00:00,9550,1239,46.6,2.6,0,36.0,28.9,932.9,329
2024-06-30 12:45:31.100000+00:00,9550,1239,45.9,2.6,0,37.0,28.9,932.8,322
2024-06-30 12:46:31.100000+00:00,9550,1239,46.2,1.9,0,37.0,28.7,933.0,334
2024-06-30 12:47:31.107000+00:00,9550,1239,46.2,2.1,0,37.0,28.7,932.8,348
2024-06-30 12:48:31.104000+00:00,9550,1239,46.2,2.2,1,37.0,28.6,932.8,6
2024-06-30 12:49:31.104000+00:00,9550,1239,46.0,2.2,0,37.0,28.7,932.9,290
2024-06-30 12:50:31.100000+00:00,9550,1239,46.0,1.8,0,37.0,28.7,932.8,346
2024-06-30 12:51:31.101000+00:00,9550,1239,46.6,1.6,0,37.0,28.7,933.0,295
2024-06-30 12:52:31.110000+00:00,9550,1239,47.2,2.3,0,36.0,28.8,932.9,317
2024-06-30 12:53:31.100000+00:00,9550,1239,47.4,2.4,0,36.0,28.9,932.8,40
2024-06-30 12:54:31.098000+00:00,9550,1239,47.7,2.1,0,36.0,28.8,932.9,59
2024-06-30 12:55:31.108000+00:00,9550,1239,47.6,2.3,0,36.0,28.8,932.8,318
2024-06-30 12:56:31.105000+00:00,9550,1239,47.6,2.4,0,37.0,28.8,932.9,336
2024-06-30 12:57:31.108000+00:00,9550,1239,47.7,2.3,0,37.0,28.9,932.9,307
2024-06-30 12:58:31.125000+00:00,9550,1239,47.7,1.4,0,36.0,28.9,933.0,307
2024-06-30 12:59:31.114000+00:00,9550,1239,47.5,1.4,0,36.0,29.0,933.0,350
2024-06-30 13:00:31.116000+00:00,9550,1239,47.0,2.6,0,36.0,29.1,933.0,285
2024-06-30 13:01:31.113000+00:00,9550,1239,46.5,1.9,0,36.0,29.0,932.9,313
2024-06-30 13:02:31.114000+00:00,9550,1239,46.5,1.9,0,36.0,28.9,933.0,14
2024-06-30 13:03:31.107000+00:00,9550,1239,47.2,2.1,0,36.0,28.9,933.0,3
2024-06-30 13:04:31.111000+00:00,9550,1239,47.3,1.7,0,36.0,28.9,933.0,268
2024-06-30 13:05:31.116000+00:00,9550,1239,47.4,1.8,0,36.0,29.0,932.8,29
2024-06-30 13:06:31.129000+00:00,9550,1239,48.1,1.6,0,35.0,29.2,933.0,359
2024-06-30 13:07:31.153000+00:00,9550,1239,48.1,0.7,0,35.0,29.3,932.9,120
2024-06-30 13:08:31.156000+00:00,9550,1239,48.2,1.3,0,35.0,29.4,933.0,110
2024-06-30 13:09:31.167000+00:00,9550,1239,48.2,2.0,0,35.0,29.5,932.9,31
2024-06-30 13:10:31.184000+00:00,9550,1239,48.4,1.2,0,34.0,29.5,932.9,283
2024-06-30 13:11:31.178000+00:00,9550,1239,48.6,1.3,0,35.0,29.4,933.0,286
2024-06-30 13:12:31.189000+00:00,9550,1239,48.7,1.5,0,35.0,29.5,932.9,292
2024-06-30 13:13:31.182000+00:00,9550,1239,48.7,1.7,0,35.0,29.5,932.9,115
2024-06-30 13:14:31.176000+00:00,9550,1239,48.7,1.1,0,35.0,29.6,932.9,113
2024-06-30 13:15:31.211000+00:00,9550,1239,49.0,0.9,0,34.0,29.6,932.8,288
2024-06-30 13:16:31.207000+00:00,9550,1239,48.7,2.4,0,34.0,29.7,932.8,43
2024-06-30 13:17:31.235000+00:00,9550,1239,48.2,1.1,0,34.0,29.6,932.9,308
2024-06-30 13:18:31.245000+00:00,9550,1239,48.0,1.1,0,34.0,29.5,932.9,10
2024-06-30 13:19:31.255000+00:00,9550,1239,48.1,1.6,0,34.0,29.6,932.9,119
2024-06-30 13:20:31.250000+00:00,9550,1239,48.6,1.5,0,34.0,29.6,932.9,100
2024-06-30 13:21:31.253000+00:00,9550,1239,48.2,1.5,0,33.0,29.6,932.8,1
2024-06-30 13:22:31.251000+00:00,9550,1239,48.1,1.6,0,34.0,29.7,932.8,14
2024-06-30 13:23:31.252000+00:00,9550,1239,48.0,1.3,0,33.0,29.8,932.7,321
2024-06-30 13:24:31.246000+00:00,9550,1239,47.8,1.8,0,34.0,29.8,932.9,353
2024-06-30 13:25:31.277000+00:00,9550,1239,47.6,1.4,0,34.0,29.8,932.9,194
2024-06-30 13:26:31.257000+00:00,9550,1239,47.8,1.2,0,35.0,29.7,932.9,41
2024-06-30 13:27:31.261000+00:00,9550,1239,48.3,0.9,0,35.0,29.7,933.0,0
2024-06-30 13:28:31.263000+00:00,9550,1239,48.3,0.9,0,35.0,29.6,933.0,318
2024-06-30 13:29:31.255000+00:00,9550,1239,48.2,2.0,0,35.0,29.6,932.9,271
2024-06-30 13:30:31.263000+00:00,9550,1239,47.3,1.4,0,34.0,29.7,932.9,208
2024-06-30 13:31:31.278000+00:00,9550,1239,47.3,0.9,0,35.0,29.8,932.9,58
2024-06-30 13:32:31.261000+00:00,9550,1239,47.3,0.9,0,35.0,29.9,932.8,73
2024-06-30 13:33:31.258000+00:00,9550,1239,46.9,1.1,0,35.0,30.0,932.8,326
2024-06-30 13:34:31.255000+00:00,9550,1239,47.1,1.3,0,35.0,30.0,932.9,323
2024-06-30 13:35:31.257000+00:00,9550,1239,46.5,1.8,0,35.0,30.0,932.9,324
2024-06-30 13:36:31.270000+00:00,9550,1239,46.5,1.8,0,35.0,30.0,933.0,280
2024-06-30 13:37:31.264000+00:00,9550,1239,45.7,0.7,0,35.0,29.9,932.9,354
2024-06-30 13:38:31.268000+00:00,9550,1239,45.0,1.3,0,35.0,29.8,932.9,283
2024-06-30 13:39:31.271000+00:00,9550,1239,44.8,2.4,0,34.0,29.7,933.0,355
2024-06-30 13:40:31.272000+00:00,9550,1239,44.8,1.5,0,36.0,29.6,933.0,319
2024-06-30 13:41:31.259000+00:00,9550,1239,44.3,1.5,0,36.0,29.5,932.8,343
2024-06-30 13:42:31.270000+00:00,9550,1239,44.2,1.1,0,37.0,29.6,932.8,81
2024-06-30 13:43:31.272000+00:00,9550,1239,44.3,1.0,0,36.0,29.6,932.9,91
2024-06-30 13:44:31.277000+00:00,9550,1239,44.7,0.9,0,35.0,29.6,932.9,119
2024-06-30 13:45:31.310000+00:00,9550,1239,45.0,1.4,0,35.0,29.6,932.9,274
2024-06-30 13:46:31.304000+00:00,9550,1239,46.0,1.2,0,34.0,29.8,932.8,331
2024-06-30 13:47:31.292000+00:00,9550,1239,46.3,1.7,0,35.0,29.9,932.8,339
2024-06-30 13:48:31.302000+00:00,9550,1239,47.3,1.6,0,35.0,30.0,932.8,284
2024-06-30 13:49:31.325000+00:00,9550,1239,48.0,1.1,0,35.0,30.1,932.9,319
2024-06-30 13:50:31.376000+00:00,9550,1239,48.0,0.8,0,35.0,30.2,933.0,46
2024-06-30 13:51:31.344000+00:00,9550,1239,47.7,0.8,0,33.0,30.3,932.9,303
2024-06-30 13:52:31.340000+00:00,9550,1239,47.8,2.2,0,33.0,30.4,932.8,321
2024-06-30 13:53:31.332000+00:00,9550,1239,48.0,1.4,0,32.0,30.5,932.8,306
2024-06-30 13:54:31.335000+00:00,9550,1239,47.6,2.8,0,33.0,30.6,932.9,307
2024-06-30 13:55:31.341000+00:00,9550,1239,46.2,1.9,0,33.0,30.4,932.8,244
2024-06-30 13:56:31.331000+00:00,9550,1239,45.8,0.9,0,32.0,30.4,932.9,8
